firearm_id,display_name,beretta_source_url,passport_chart_url,source_type,date_accessed,specification_notes
BERETTA-000001,Beretta M9,https://www.berettausa.com/en-us/m9/,https://pholsters.com/size-chart/,Official Beretta,2026-07-24,4.90 inch barrel 9mm
BERETTA-000002,Beretta M9A1,https://www.berettausa.com/en-us/m9a1/,https://pholsters.com/size-chart/,Official Beretta,2026-07-24,4.90 inch barrel 9mm
BERETTA-000003,Beretta M9A3,https://www.berettausa.com/en-us/m9a3/,https://pholsters.com/size-chart/,Official Beretta,2026-07-24,4.90 inch barrel 9mm
BERETTA-000004,Beretta 92FS,https://www.berettausa.com/en-us/92fs/,https://pholsters.com/size-chart/,Official Beretta,2026-07-24,4.90 inch barrel 9mm
BERETTA-000005,Beretta 92FS Inox,https://www.berettausa.com/en-us/92fs/,https://pholsters.com/size-chart/,Official Beretta,2026-07-24,4.90 inch barrel 9mm
BERETTA-000006,Beretta 92FSR,https://www.berettausa.com/en-us/92fsr/,https://pholsters.com/size-chart/,Official Beretta,2026-07-24,4.90 inch barrel 9mm
BERETTA-000007,Beretta 92X Full Size,https://www.berettausa.com/en-us/92x-full-size/,https://pholsters.com/size-chart/,Official Beretta,2026-07-24,4.90 inch barrel 9mm
BERETTA-000008,Beretta 92X Centurion,https://www.berettausa.com/en-us/92x-centurion/,https://pholsters.com/size-chart/,Official Beretta,2026-07-24,4.25 inch barrel 9mm
BERETTA-000009,Beretta 92X Compact,https://www.berettausa.com/en-us/92x-compact/,https://pholsters.com/size-chart/,Official Beretta,2026-07-24,3.80 inch barrel 9mm
BERETTA-000010,Beretta 92X Performance,https://www.berettausa.com/en-us/92x-performance/,https://pholsters.com/size-chart/,Official Beretta,2026-07-24,4.90 inch barrel 9mm
BERETTA-000011,Beretta APX,https://www.berettausa.com/en-us/apx/,https://pholsters.com/size-chart/,Official Beretta,2026-07-24,4.25 inch barrel 9mm
BERETTA-000012,Beretta APX Carry,https://www.berettausa.com/en-us/apx-carry/,https://pholsters.com/size-chart/,Official Beretta,2026-07-24,3.50 inch barrel 9mm
