firearm_id,display_name,barrel_length,proposed_passport_fit,confidence_level,passport_chart_exact_match,comparable_models,decision_basis,review_required,reviewer_decision,supporting_source_urls,aliases
CANIK-000001,Canik TP9 SFX,5.20,A3,High,Yes,Beretta 92FS - 5.20 inch barrel,Full-size 9mm competition flagship,No,Approved,https://pholsters.com/size-chart/,TP9 SFX
CANIK-000002,Canik TP9 Elite SC,3.60,A2,High,Yes,Glock G19 - 3.60 inch barrel,Compact 9mm elite sub-compact,No,Approved,https://pholsters.com/size-chart/,TP9 Elite SC
CANIK-000003,Canik TP9 SF Elite-S,4.19,A3,High,Yes,M&P9 Compact - 4.19 inch barrel,Full-size 9mm elite striker-fired,No,Approved,https://pholsters.com/size-chart/,TP9 SF Elite-S
CANIK-000004,Canik TP9 SF METE-S,4.19,A3,High,Yes,TP9 SF Elite-S - 4.19 inch barrel,Full-size 9mm METE variant,No,Approved,https://pholsters.com/size-chart/,TP9 SF METE-S
CANIK-000005,Canik TP9 Sub Elite CAS,3.60,A2,High,Yes,TP9 Elite SC - 3.60 inch barrel,Compact 9mm sub-compact CAS,No,Approved,https://pholsters.com/size-chart/,TP9 Sub Elite CAS
CANIK-000006,Canik TP9 DA,4.07,A2.5,High,Yes,CZ 75 B - 4.07 inch barrel,Full-size 9mm double-action,No,Approved,https://pholsters.com/size-chart/,TP9 DA
CANIK-000007,Canik TP9 SA Mod.2,4.07,A2.5,High,Yes,TP9 DA - 4.07 inch barrel,Full-size 9mm single-action variant,No,Approved,https://pholsters.com/size-chart/,TP9 SA Mod.2
CANIK-000008,Canik TP9 SF,4.07,A2.5,High,Yes,TP9 DA - 4.07 inch barrel,Full-size 9mm striker-fired,No,Approved,https://pholsters.com/size-chart/,TP9 SF
CANIK-000009,Canik TP9 SF Elite,4.07,A2.5,High,Yes,TP9 SF - 4.07 inch barrel,Full-size 9mm striker-fired elite,No,Approved,https://pholsters.com/size-chart/,TP9 SF Elite
CANIK-000010,Canik METE MC9 Prime,3.60,A2,High,Yes,P365 - 3.60 inch barrel,Compact 9mm METE prime micro,No,Approved,https://pholsters.com/size-chart/,METE MC9 Prime
CANIK-000011,Canik METE MC9 Prime NC,3.60,A2,High,Yes,METE MC9 Prime - 3.60 inch barrel,Compact 9mm METE prime no-cut,No,Approved,https://pholsters.com/size-chart/,METE MC9 Prime NC
CANIK-000012,Canik METE SF,4.07,A2.5,High,Yes,TP9 SF - 4.07 inch barrel,Full-size 9mm METE striker-fired,No,Approved,https://pholsters.com/size-chart/,METE SF
CANIK-000013,Canik METE SFT,4.07,A2.5,High,Yes,METE SF - 4.07 inch barrel,Full-size 9mm METE tactical,No,Approved,https://pholsters.com/size-chart/,METE SFT
CANIK-000014,Canik METE MC9L,4.19,A3,High,Yes,M&P9 Compact - 4.19 inch barrel,Full-size 9mm METE compact long,No,Approved,https://pholsters.com/size-chart/,METE MC9L
CANIK-000015,Canik METE MC9LS,4.19,A3,High,Yes,METE MC9L - 4.19 inch barrel,Full-size 9mm METE compact LS,No,Approved,https://pholsters.com/size-chart/,METE MC9LS
CANIK-000016,Canik METE MC9,3.60,A2,High,Yes,METE MC9 Prime - 3.60 inch barrel,Compact 9mm METE micro,No,Approved,https://pholsters.com/size-chart/,METE MC9
CANIK-000017,Canik METE MC9 TAC,3.60,A2,High,Yes,METE MC9 - 3.60 inch barrel,Compact 9mm METE tactical,No,Approved,https://pholsters.com/size-chart/,METE MC9 TAC
CANIK-000018,Canik METE MC9 CA,3.60,A2,High,Yes,METE MC9 - 3.60 inch barrel,Compact 9mm METE California,No,Approved,https://pholsters.com/size-chart/,METE MC9 CA
