firearm_id,display_name,colt_source_url,passport_chart_url,source_type,date_accessed,specification_notes
COLT-000001,Colt M1911,https://www.colt.com/products/m1911/,https://pholsters.com/size-chart/,Official Colt,2026-07-24,5.00 inch barrel full-size .45 ACP
COLT-000002,Colt M1911A1,https://www.colt.com/products/m1911/,https://pholsters.com/size-chart/,Official Colt,2026-07-24,5.00 inch barrel A1 variant
COLT-000003,Colt Government Model,https://www.colt.com/products/government/,https://pholsters.com/size-chart/,Official Colt,2026-07-24,5.00 inch barrel full-size .45 ACP
COLT-000004,Colt Government Model .38 Super,https://www.colt.com/products/government/,https://pholsters.com/size-chart/,Official Colt,2026-07-24,5.00 inch barrel .38 Super variant
COLT-000005,Colt Commander,https://www.colt.com/products/commander/,https://pholsters.com/size-chart/,Official Colt,2026-07-24,4.25 inch barrel mid-size .45 ACP
COLT-000006,Colt Commander .38 Super,https://www.colt.com/products/commander/,https://pholsters.com/size-chart/,Official Colt,2026-07-24,4.25 inch barrel .38 Super variant
COLT-000007,Colt Officer's Model,https://www.colt.com/products/officers/,https://pholsters.com/size-chart/,Official Colt,2026-07-24,3.50 inch barrel compact .45 ACP
COLT-000008,Colt Defender,https://www.colt.com/products/defender/,https://pholsters.com/size-chart/,Official Colt,2026-07-24,3.00 inch barrel subcompact .45 ACP
COLT-000009,Colt Pocket Nine,https://www.colt.com/products/pocket-nine/,https://pholsters.com/size-chart/,Official Colt,2026-07-24,3.15 inch barrel compact 9mm
COLT-000010,Colt Double Eagle,https://www.colt.com/products/double-eagle/,https://pholsters.com/size-chart/,Official Colt,2026-07-24,4.25 inch barrel mid-size .45 ACP double action
COLT-000011,Colt Double Eagle Compact,https://www.colt.com/products/double-eagle/,https://pholsters.com/size-chart/,Official Colt,2026-07-24,3.80 inch barrel compact .45 ACP double action
COLT-000012,Colt M1991A1 Compact,https://www.colt.com/products/m1991a1/,https://pholsters.com/size-chart/,Official Colt,2026-07-24,3.50 inch barrel compact 9mm
