firearm_id,display_name,barrel_length,proposed_passport_fit,confidence_level,passport_chart_exact_match,comparable_models,decision_basis,review_required,reviewer_decision,supporting_source_urls,aliases
FN-000001,FN 309 MRD,3.74,A2,High,Yes,P365 - 3.74 inch barrel,Compact 9mm budget optics-ready 2026,No,Approved,https://pholsters.com/size-chart/,309 MRD
FN-000002,FN 309 MRD 20+1,3.74,A2,High,Yes,309 MRD - 3.74 inch barrel,Compact 9mm budget high capacity,No,Approved,https://pholsters.com/size-chart/,309 MRD HC
FN-000003,FN Reflex MRD,3.74,A2,High,Yes,P365 - 3.74 inch barrel,Compact 9mm CCW optics-ready,No,Approved,https://pholsters.com/size-chart/,Reflex MRD
FN-000004,FN Reflex XL MRD,4.24,A2.5,High,Yes,Reflex MRD - 4.24 inch barrel,Compact 9mm CCW XL optics-ready,No,Approved,https://pholsters.com/size-chart/,Reflex XL MRD
FN-000005,FN Reflex Tactical,3.74,A2,High,Yes,Reflex MRD - 3.74 inch barrel,Compact 9mm CCW tactical rail,No,Approved,https://pholsters.com/size-chart/,Reflex Tactical
FN-000006,FN Reflex Tactical XL,4.24,A2.5,High,Yes,Reflex XL MRD - 4.24 inch barrel,Compact 9mm tactical XL rail,No,Approved,https://pholsters.com/size-chart/,Reflex Tactical XL
FN-000007,FN 509 Midsize,4.00,A2.5,High,Yes,Glock G19 - 4.00 inch barrel,Compact 9mm striker modular,No,Approved,https://pholsters.com/size-chart/,509 Midsize
FN-000008,FN 509 Full-Size,4.72,A3,High,Yes,Beretta 92FS - 4.72 inch barrel,Full-size 9mm striker modular,No,Approved,https://pholsters.com/size-chart/,509 FS
FN-000009,FN 509 Compact,3.64,A2,High,Yes,Glock G26 - 3.64 inch barrel,Compact 9mm striker compact,No,Approved,https://pholsters.com/size-chart/,509 Compact
FN-000010,FN 509 Tactical,4.72,A3,High,Yes,M&P9 Compact - 4.72 inch barrel,Full-size 9mm tactical modular,No,Approved,https://pholsters.com/size-chart/,509 Tactical
FN-000011,FN 509 Tactical MRD,4.72,A3,High,Yes,509 Tactical - 4.72 inch barrel,Full-size 9mm tactical optics-ready,No,Approved,https://pholsters.com/size-chart/,509 Tactical MRD
FN-000012,FN 509 LS Edge,5.03,A3,High,Yes,CZ Shadow 2 - 5.03 inch barrel,Full-size 9mm competition LS edge,No,Approved,https://pholsters.com/size-chart/,509 LS Edge
FN-000013,FN 509 LS Edge MRD,5.03,A3,High,Yes,509 LS Edge - 5.03 inch barrel,Full-size 9mm competition optics,No,Approved,https://pholsters.com/size-chart/,509 LS Edge MRD
FN-000014,FN 509 Midsize MRD,4.00,A2.5,High,Yes,509 Midsize - 4.00 inch barrel,Compact 9mm optics-ready,No,Approved,https://pholsters.com/size-chart/,509 Midsize MRD
FN-000015,FN 509 Compact MRD,3.64,A2,High,Yes,509 Compact - 3.64 inch barrel,Compact 9mm optics-ready compact,No,Approved,https://pholsters.com/size-chart/,509 Compact MRD
FN-000016,FN 509 Full-Size MRD,4.72,A3,High,Yes,509 FS - 4.72 inch barrel,Full-size 9mm optics-ready,No,Approved,https://pholsters.com/size-chart/,509 FS MRD
FN-000017,FN 510 Tactical,4.72,A3,High,Yes,Glock 20 - 4.72 inch barrel,Full-size 10mm tactical modular,No,Approved,https://pholsters.com/size-chart/,510 Tactical
FN-000018,FN 510 Tactical MRD,4.72,A3,High,Yes,510 Tactical - 4.72 inch barrel,Full-size 10mm tactical optics-ready,No,Approved,https://pholsters.com/size-chart/,510 Tactical MRD
FN-000019,FN 510 Full-Size,4.72,A3,High,Yes,510 Tactical - 4.72 inch barrel,Full-size 10mm modular standard,No,Approved,https://pholsters.com/size-chart/,510 FS
FN-000020,FN 510 Compact,3.64,A2,High,Yes,510 FS - 3.64 inch barrel,Compact 10mm modular,No,Approved,https://pholsters.com/size-chart/,510 Compact
FN-000021,FN 545 Tactical,4.72,A3,High,Yes,Colt M1911A1 - 4.72 inch barrel,Full-size .45 ACP tactical modular,No,Approved,https://pholsters.com/size-chart/,545 Tactical
FN-000022,FN 545 Tactical MRD,4.72,A3,High,Yes,545 Tactical - 4.72 inch barrel,Full-size .45 ACP tactical optics-ready,No,Approved,https://pholsters.com/size-chart/,545 Tactical MRD
FN-000023,FN 545 Full-Size,4.72,A3,High,Yes,545 Tactical - 4.72 inch barrel,Full-size .45 ACP modular standard,No,Approved,https://pholsters.com/size-chart/,545 FS
FN-000024,FN 545 Compact,3.64,A2,High,Yes,545 FS - 3.64 inch barrel,Compact .45 ACP modular,No,Approved,https://pholsters.com/size-chart/,545 Compact
