firearm_id,display_name,barrel_length,proposed_passport_fit,confidence_level,passport_chart_exact_match,comparable_models,decision_basis,review_required,reviewer_decision,supporting_source_urls,aliases
GLOCK-000001,Glock 17,4.49,A3,High,Yes,Beretta 92FS - 4.49 inch barrel,Full-size 9mm polymer standard,No,Approved,https://pholsters.com/size-chart/,G17
GLOCK-000002,Glock 17L,6.02,A4,High,Yes,Glock 17 - 6.02 inch barrel,Full-size 9mm competition model,No,Approved,https://pholsters.com/size-chart/,G17L
GLOCK-000003,Glock 17C,4.49,A3,High,Yes,Glock 17 - 4.49 inch barrel,Full-size 9mm compensated variant,No,Approved,https://pholsters.com/size-chart/,G17C
GLOCK-000004,Glock 17CC,4.49,A3,High,Yes,Glock 17C - 4.49 inch barrel,Full-size 9mm double compensated,No,Approved,https://pholsters.com/size-chart/,G17CC
GLOCK-000005,Glock 17 Gen 5,4.49,A3,High,Yes,Glock 17 - 4.49 inch barrel,Full-size 9mm modern variant,No,Approved,https://pholsters.com/size-chart/,G17 Gen5
GLOCK-000006,Glock 17 MOS,4.49,A3,High,Yes,Glock 17 - 4.49 inch barrel,Full-size 9mm optics ready,No,Approved,https://pholsters.com/size-chart/,G17 MOS
GLOCK-000007,Glock 19,4.02,A2.5,High,Yes,Glock G19 - 4.02 inch barrel,Compact 9mm standard,No,Approved,https://pholsters.com/size-chart/,G19
GLOCK-000008,Glock 19C,4.02,A2.5,High,Yes,Glock 19 - 4.02 inch barrel,Compact 9mm compensated variant,No,Approved,https://pholsters.com/size-chart/,G19C
GLOCK-000009,Glock 19CC,4.02,A2.5,High,Yes,Glock 19C - 4.02 inch barrel,Compact 9mm double compensated,No,Approved,https://pholsters.com/size-chart/,G19CC
GLOCK-000010,Glock 19 Gen 5,4.02,A2.5,High,Yes,Glock 19 - 4.02 inch barrel,Compact 9mm modern variant,No,Approved,https://pholsters.com/size-chart/,G19 Gen5
GLOCK-000011,Glock 19 MOS,4.02,A2.5,High,Yes,Glock 19 - 4.02 inch barrel,Compact 9mm optics ready,No,Approved,https://pholsters.com/size-chart/,G19 MOS
GLOCK-000012,Glock 19 RTF2,4.02,A2.5,High,Yes,Glock 19 - 4.02 inch barrel,Compact 9mm grip texture variant,No,Approved,https://pholsters.com/size-chart/,G19 RTF2
GLOCK-000013,Glock 26,3.43,A1.5,High,Yes,Glock G26 - 3.43 inch barrel,Subcompact 9mm standard,No,Approved,https://pholsters.com/size-chart/,G26
GLOCK-000014,Glock 26 Gen 5,3.43,A1.5,High,Yes,Glock 26 - 3.43 inch barrel,Subcompact 9mm modern variant,No,Approved,https://pholsters.com/size-chart/,G26 Gen5
GLOCK-000015,Glock 34,5.31,A4,High,Yes,Glock 17L - 5.31 inch barrel,Full-size 9mm competition model,No,Approved,https://pholsters.com/size-chart/,G34
GLOCK-000016,Glock 34 Gen 5,5.31,A4,High,Yes,Glock 34 - 5.31 inch barrel,Full-size 9mm competition modern,No,Approved,https://pholsters.com/size-chart/,G34 Gen5
GLOCK-000017,Glock 35,5.31,A4,High,Yes,Glock 34 - 5.31 inch barrel,Full-size .40 S&W competition,No,Approved,https://pholsters.com/size-chart/,G35
GLOCK-000018,Glock 35 Gen 5,5.31,A4,High,Yes,Glock 35 - 5.31 inch barrel,Full-size .40 S&W competition modern,No,Approved,https://pholsters.com/size-chart/,G35 Gen5
GLOCK-000019,Glock 22,4.49,A3,High,Yes,Beretta 92FS - 4.49 inch barrel,Full-size .40 S&W polymer standard,No,Approved,https://pholsters.com/size-chart/,G22
GLOCK-000020,Glock 22 Gen 5,4.49,A3,High,Yes,Glock 22 - 4.49 inch barrel,Full-size .40 S&W modern variant,No,Approved,https://pholsters.com/size-chart/,G22 Gen5
GLOCK-000021,Glock 23,4.02,A2.5,High,Yes,Glock G23 - 4.02 inch barrel,Compact .40 S&W standard,No,Approved,https://pholsters.com/size-chart/,G23
GLOCK-000022,Glock 23 Gen 5,4.02,A2.5,High,Yes,Glock 23 - 4.02 inch barrel,Compact .40 S&W modern variant,No,Approved,https://pholsters.com/size-chart/,G23 Gen5
GLOCK-000023,Glock 27,3.43,A1.5,High,Yes,Glock G27 - 3.43 inch barrel,Subcompact .40 S&W standard,No,Approved,https://pholsters.com/size-chart/,G27
GLOCK-000024,Glock 27 Gen 5,3.43,A1.5,High,Yes,Glock 27 - 3.43 inch barrel,Subcompact .40 S&W modern variant,No,Approved,https://pholsters.com/size-chart/,G27 Gen5
GLOCK-000025,Glock 20,4.61,A3,High,Yes,Glock 17 - 4.61 inch barrel,Full-size 10mm polymer,No,Approved,https://pholsters.com/size-chart/,G20
GLOCK-000026,Glock 20 Gen 5,4.61,A3,High,Yes,Glock 20 - 4.61 inch barrel,Full-size 10mm modern variant,No,Approved,https://pholsters.com/size-chart/,G20 Gen5
GLOCK-000027,Glock 29,3.78,A2,High,Yes,Glock G29 - 3.78 inch barrel,Compact 10mm polymer,No,Approved,https://pholsters.com/size-chart/,G29
