firearm_id,display_name,barrel_length,proposed_passport_fit,confidence_level,passport_chart_exact_match,comparable_models,decision_basis,review_required,reviewer_decision,supporting_source_urls,aliases
HK-000001,H&K USP Full Size,4.25,A3,High,Yes,Beretta 92FS - 4.25 inch barrel,Mid-size 9mm tactical standard,No,Approved,https://pholsters.com/size-chart/,USP
HK-000002,H&K USP Compact,3.27,A2,High,Yes,Glock G19 - 3.27 inch barrel,Compact 9mm tactical variant,No,Approved,https://pholsters.com/size-chart/,USP Compact
HK-000003,H&K USP Tactical,4.25,A3,High,Yes,USP Full Size - 4.25 inch barrel,Mid-size 9mm tactical variant,No,Approved,https://pholsters.com/size-chart/,USP Tactical
HK-000004,H&K USP Match,4.25,A3,High,Yes,USP Full Size - 4.25 inch barrel,Mid-size 9mm competition model,No,Approved,https://pholsters.com/size-chart/,USP Match
HK-000005,H&K USP 45,4.25,A3,High,Yes,Colt Commander - 4.25 inch barrel,Mid-size .45 ACP tactical,No,Approved,https://pholsters.com/size-chart/,USP45
HK-000006,H&K USP 45 Compact,3.50,A2,High,Yes,Glock G21SF - 3.50 inch barrel,Compact .45 ACP tactical variant,No,Approved,https://pholsters.com/size-chart/,USP45 Compact
HK-000007,H&K USP 45 Tactical,4.25,A3,High,Yes,USP 45 - 4.25 inch barrel,Mid-size .45 ACP tactical variant,No,Approved,https://pholsters.com/size-chart/,USP45 Tactical
HK-000008,H&K USP 40,4.25,A3,High,Yes,S&W M&P40 - 4.25 inch barrel,Mid-size .40 S&W tactical,No,Approved,https://pholsters.com/size-chart/,USP40
HK-000009,H&K USP 40 Compact,3.50,A2,High,Yes,Glock G23 - 3.50 inch barrel,Compact .40 S&W tactical variant,No,Approved,https://pholsters.com/size-chart/,USP40 Compact
HK-000010,H&K USP 357,4.25,A3,High,Yes,USP Full Size - 4.25 inch barrel,Mid-size .357 SIG tactical,No,Approved,https://pholsters.com/size-chart/,USP357
HK-000011,H&K P7 M8,3.50,A2.5,Medium,Yes,Walther P99 - 3.50 inch barrel,Compact 9mm squeeze cocker,Yes,Requires Verification,https://pholsters.com/size-chart/,P7 M8
HK-000012,H&K P7 M13,3.50,A2.5,Medium,Yes,P7 M8 - 3.50 inch barrel,Compact 9mm 13-round variant,Yes,Requires Verification,https://pholsters.com/size-chart/,P7 M13
HK-000013,H&K P9S,3.50,A2.5,Low,No,P7 M8 - 3.50 inch barrel,Compact 9mm discontinued,Yes,Requires Historical Research,https://pholsters.com/size-chart/,P9S
HK-000014,H&K P9S Combat,4.00,A3,Low,No,P7 M8 - 4.00 inch barrel,Mid-size 9mm discontinued,Yes,Requires Historical Research,https://pholsters.com/size-chart/,P9S Combat
HK-000015,H&K P30,4.00,A3,High,Yes,Beretta PX4 - 4.00 inch barrel,Mid-size 9mm modern tactical,No,Approved,https://pholsters.com/size-chart/,P30
HK-000016,H&K P30 Compact,3.27,A2,High,Yes,P30 - 3.27 inch barrel,Compact 9mm variant,No,Approved,https://pholsters.com/size-chart/,P30 Compact
HK-000017,H&K P30 LEM,4.00,A3,High,Yes,P30 - 4.00 inch barrel,Mid-size 9mm LEM trigger,No,Approved,https://pholsters.com/size-chart/,P30 LEM
HK-000018,H&K P30 SK,3.27,A2,High,Yes,P30 Compact - 3.27 inch barrel,Subcompact 9mm variant,No,Approved,https://pholsters.com/size-chart/,P30 SK
HK-000019,H&K VP9,4.09,A3,High,Yes,Glock G17 - 4.09 inch barrel,Full-size 9mm polymer,No,Approved,https://pholsters.com/size-chart/,VP9
HK-000020,H&K VP9 Compact,3.50,A2,High,Yes,Glock G19 - 3.50 inch barrel,Compact 9mm polymer variant,No,Approved,https://pholsters.com/size-chart/,VP9 Compact
HK-000021,H&K VP9 Tactical,4.09,A3,High,Yes,VP9 - 4.09 inch barrel,Full-size 9mm tactical variant,No,Approved,https://pholsters.com/size-chart/,VP9 Tactical
HK-000022,H&K VP9 SK,3.39,A2,High,Yes,VP9 Compact - 3.39 inch barrel,Subcompact 9mm variant,No,Approved,https://pholsters.com/size-chart/,VP9 SK
HK-000023,H&K VP40,4.25,A3,High,Yes,S&W M&P40 - 4.25 inch barrel,Full-size .40 S&W polymer,No,Approved,https://pholsters.com/size-chart/,VP40
HK-000024,H&K VP40 Compact,3.50,A2,High,Yes,VP40 - 3.50 inch barrel,Compact .40 S&W polymer variant,No,Approved,https://pholsters.com/size-chart/,VP40 Compact
HK-000025,H&K Mark 23,5.87,A4,High,Yes,Desert Eagle - 5.87 inch barrel,Full-size .45 ACP tactical,No,Approved,https://pholsters.com/size-chart/,Mark 23
HK-000026,H&K P2000,3.66,A2.5,High,Yes,P30 Compact - 3.66 inch barrel,Compact 9mm double action,No,Approved,https://pholsters.com/size-chart/,P2000
HK-000027,H&K P2000 SK,3.27,A2,High,Yes,P2000 - 3.27 inch barrel,Subcompact 9mm variant,No,Approved,https://pholsters.com/size-chart/,P2000 SK
HK-000028,H&K P208,4.00,A3,Medium,Yes,P2000 - 4.00 inch barrel,Mid-size .40 S&W double action,No,Approved,https://pholsters.com/size-chart/,P208
HK-000029,H&K P208 SK,3.27,A2,Medium,Yes,P208 - 3.27 inch barrel,Subcompact .40 S&W variant,No,Approved,https://pholsters.com/size-chart/,P208 SK
HK-000030,H&K HK45,4.25,A3,High,Yes,Colt M1911 - 4.25 inch barrel,Mid-size .45 ACP tactical,No,Approved,https://pholsters.com/size-chart/,HK45
HK-000031,H&K HK45 Compact,3.50,A2,High,Yes,HK45 - 3.50 inch barrel,Compact .45 ACP tactical variant,No,Approved,https://pholsters.com/size-chart/,HK45 Compact
HK-000032,H&K HK45 Tactical,4.25,A3,High,Yes,HK45 - 4.25 inch barrel,Mid-size .45 ACP tactical variant,No,Approved,https://pholsters.com/size-chart/,HK45 Tactical
HK-000033,H&K USP9,4.25,A3,High,Yes,Beretta 92FS - 4.25 inch barrel,Mid-size 9mm tactical,No,Approved,https://pholsters.com/size-chart/,USP9
HK-000034,H&K PSP,3.50,A2.5,Low,No,P7 M8 - 3.50 inch barrel,Compact 9mm discontinued,Yes,Requires Historical Research,https://en.wikipedia.org/wiki/Heckler_%26_Koch_PSP,PSP
HK-000035,H&K P7M7,3.80,A2.5,Medium,Yes,P7 M8 - 3.80 inch barrel,Compact 9mm variant,Yes,Requires Verification,https://pholsters.com/size-chart/,P7M7
