firearm_id,display_name,barrel_length,proposed_passport_fit,confidence_level,passport_chart_exact_match,comparable_models,decision_basis,review_required,reviewer_decision,supporting_source_urls,aliases
KELTEC-000001,Kel-Tec PR-3AT,2.75,A1.5,High,Yes,Beretta Pony - 2.75 inch barrel,.380 ACP rotary top-loading compact,No,Approved,https://pholsters.com/size-chart/,PR-3AT
KELTEC-000002,Kel-Tec PR-3AT Defender,2.75,A1.5,High,Yes,PR-3AT - 2.75 inch barrel,.380 ACP rotary defender package,No,Approved,https://pholsters.com/size-chart/,PR-3AT Defender
KELTEC-000003,Kel-Tec PR-5.7,3.00,A1.5,High,Yes,P365 - 3.00 inch barrel,Subcompact 5.7x28mm rotary top-loading,No,Approved,https://pholsters.com/size-chart/,PR-5.7
KELTEC-000004,Kel-Tec PR-5.7 Standard,3.00,A1.5,High,Yes,PR-5.7 - 3.00 inch barrel,Subcompact 5.7x28mm rotary standard,No,Approved,https://pholsters.com/size-chart/,PR-5.7 Standard
KELTEC-000005,Kel-Tec PR-5.7 Defender,3.00,A1.5,High,Yes,PR-5.7 - 3.00 inch barrel,Subcompact 5.7x28mm rotary defender,No,Approved,https://pholsters.com/size-chart/,PR-5.7 Defender
KELTEC-000006,Kel-Tec P15,3.75,A2,High,Yes,Glock G19 - 3.75 inch barrel,Compact 9mm slim modern,No,Approved,https://pholsters.com/size-chart/,P15
KELTEC-000007,Kel-Tec P15 Tactical,3.75,A2,High,Yes,P15 - 3.75 inch barrel,Compact 9mm tactical rail,No,Approved,https://pholsters.com/size-chart/,P15 Tactical
KELTEC-000008,Kel-Tec P15 Defender,3.75,A2,High,Yes,P15 - 3.75 inch barrel,Compact 9mm defender package,No,Approved,https://pholsters.com/size-chart/,P15 Defender
KELTEC-000009,Kel-Tec P17,4.00,A2.5,High,Yes,Ruger Mark IV - 4.00 inch barrel,Compact .22 LR budget plinker,No,Approved,https://pholsters.com/size-chart/,P17
KELTEC-000010,Kel-Tec P17 GSS,4.00,A2.5,High,Yes,P17 - 4.00 inch barrel,Compact .22 LR gss variant,No,Approved,https://pholsters.com/size-chart/,P17 GSS
KELTEC-000011,Kel-Tec P32,2.68,A1.5,High,Yes,Beretta Pony - 2.68 inch barrel,Micro-compact .32 ACP pocket,No,Approved,https://pholsters.com/size-chart/,P32
KELTEC-000012,Kel-Tec P32 Parkerized,2.68,A1.5,High,Yes,P32 - 2.68 inch barrel,Micro-compact .32 ACP parkerized,No,Approved,https://pholsters.com/size-chart/,P32 Parkerized
KELTEC-000013,Kel-Tec P32 Nickel,2.68,A1.5,High,Yes,P32 - 2.68 inch barrel,Micro-compact .32 ACP nickel,No,Approved,https://pholsters.com/size-chart/,P32 Nickel
KELTEC-000014,Kel-Tec P32 Stainless,2.68,A1.5,High,Yes,P32 - 2.68 inch barrel,Micro-compact .32 ACP stainless,No,Approved,https://pholsters.com/size-chart/,P32 SS
KELTEC-000015,Kel-Tec PMR30,4.30,A2.5,High,Yes,S&W M&P Shield - 4.30 inch barrel,Compact .22 WMR high-capacity,No,Approved,https://pholsters.com/size-chart/,PMR30
KELTEC-000016,Kel-Tec PMR30 Standard,4.30,A2.5,High,Yes,PMR30 - 4.30 inch barrel,Compact .22 WMR standard,No,Approved,https://pholsters.com/size-chart/,PMR30 Standard
KELTEC-000017,Kel-Tec PMR30 Parkerized,4.30,A2.5,High,Yes,PMR30 - 4.30 inch barrel,Compact .22 WMR parkerized,No,Approved,https://pholsters.com/size-chart/,PMR30 Parkerized
KELTEC-000018,Kel-Tec PMR30 Nickel,4.30,A2.5,High,Yes,PMR30 - 4.30 inch barrel,Compact .22 WMR nickel,No,Approved,https://pholsters.com/size-chart/,PMR30 Nickel
KELTEC-000019,Kel-Tec SUB-SDP Standard,6.00,A3,High,Yes,CZ P-09 - 6.00 inch barrel,Full-size 9mm folding braced,No,Approved,https://pholsters.com/size-chart/,SUB-SDP
KELTEC-000020,Kel-Tec SUB-SDP Tactical,6.00,A3,High,Yes,SUB-SDP - 6.00 inch barrel,Full-size 9mm folding tactical,No,Approved,https://pholsters.com/size-chart/,SUB-SDP Tactical
KELTEC-000021,Kel-Tec SUB-SDP Defender,6.00,A3,High,Yes,SUB-SDP - 6.00 inch barrel,Full-size 9mm folding defender,No,Approved,https://pholsters.com/size-chart/,SUB-SDP Defender
KELTEC-000022,Kel-Tec KP50 Standard,9.60,A3,High,Yes,Kel-Tec P50 - 9.60 inch barrel,Full-size 5.7x28mm 50-round standard,No,Approved,https://pholsters.com/size-chart/,KP50 Standard
KELTEC-000023,Kel-Tec KP50 Braced,9.60,A3,High,Yes,KP50 Standard - 9.60 inch barrel,Full-size 5.7x28mm 50-round braced,No,Approved,https://pholsters.com/size-chart/,KP50 Braced
