firearm_id,display_name,barrel_length,proposed_passport_fit,confidence_level,passport_chart_exact_match,comparable_models,decision_basis,review_required,reviewer_decision,supporting_source_urls,aliases
RIA-000001,Rock Island Armory GI Standard FS,5.00,A3,High,Yes,Colt M1911A1 - 5.00 inch barrel,Full-size .45 ACP GI standard,No,Approved,https://pholsters.com/size-chart/,GI Standard
RIA-000002,Rock Island Armory GI Standard 9mm,5.00,A3,High,Yes,1911 GI - 5.00 inch barrel,Full-size 9mm GI standard,No,Approved,https://pholsters.com/size-chart/,GI 9mm
RIA-000003,Rock Island Armory GI Compact,3.50,A2,High,Yes,Colt Officer's - 3.50 inch barrel,Compact .45 ACP GI compact,No,Approved,https://pholsters.com/size-chart/,GI Compact
RIA-000004,Rock Island Armory GI Midsize,4.00,A2.5,High,Yes,Colt Commander - 4.00 inch barrel,Compact .45 ACP GI mid-size,No,Approved,https://pholsters.com/size-chart/,GI Midsize
RIA-000005,Rock Island Armory Rock Ultra FS,5.00,A3,High,Yes,GI Standard - 5.00 inch barrel,Full-size .45 ACP rock ultra,No,Approved,https://pholsters.com/size-chart/,Rock Ultra FS
RIA-000006,Rock Island Armory Rock Ultra 9mm,5.00,A3,High,Yes,Rock Ultra - 5.00 inch barrel,Full-size 9mm rock ultra variant,No,Approved,https://pholsters.com/size-chart/,Rock Ultra 9mm
RIA-000007,Rock Island Armory Rock Ultra Midsize,4.00,A2.5,High,Yes,Rock Ultra FS - 4.00 inch barrel,Compact .45 ACP rock ultra mid,No,Approved,https://pholsters.com/size-chart/,Rock Ultra MS
RIA-000008,Rock Island Armory Rock Ultra Compact,3.50,A2,High,Yes,Rock Ultra FS - 3.50 inch barrel,Compact .45 ACP rock ultra compact,No,Approved,https://pholsters.com/size-chart/,Rock Ultra CS
RIA-000009,Rock Island Armory Tactical II FS,5.00,A3,High,Yes,Springfield TRP - 5.00 inch barrel,Full-size .45 ACP tactical II,No,Approved,https://pholsters.com/size-chart/,TAC II FS
RIA-000010,Rock Island Armory Tactical II 9mm,5.00,A3,High,Yes,TAC II FS - 5.00 inch barrel,Full-size 9mm tactical II variant,No,Approved,https://pholsters.com/size-chart/,TAC II 9mm
RIA-000011,Rock Island Armory Tactical II Midsize,4.00,A2.5,High,Yes,TAC II FS - 4.00 inch barrel,Compact .45 ACP tactical II mid,No,Approved,https://pholsters.com/size-chart/,TAC II MS
RIA-000012,Rock Island Armory Tactical II Compact,3.50,A2,High,Yes,TAC II FS - 3.50 inch barrel,Compact .45 ACP tactical II compact,No,Approved,https://pholsters.com/size-chart/,TAC II CS
RIA-000013,Rock Island Armory Pro Match Ultra,5.00,A3,High,Yes,Kimber Super Match - 5.00 inch barrel,Full-size .45 ACP pro match,No,Approved,https://pholsters.com/size-chart/,Pro Match Ultra
RIA-000014,Rock Island Armory Pro Match 9mm,5.00,A3,High,Yes,Pro Match - 5.00 inch barrel,Full-size 9mm pro match variant,No,Approved,https://pholsters.com/size-chart/,Pro Match 9mm
