firearm_id,display_name,barrel_length,proposed_passport_fit,confidence_level,passport_chart_exact_match,comparable_models,decision_basis,review_required,reviewer_decision,supporting_source_urls,aliases
RUGER-000001,Ruger RXM,3.90,A2,High,Yes,Glock G19 - 3.90 inch barrel,Compact 9mm modular polymer 2026,No,Approved,https://pholsters.com/size-chart/,RXM
RUGER-000002,Ruger RXM Full-Size,4.50,A3,High,Yes,Beretta 92FS - 4.50 inch barrel,Full-size 9mm modular polymer,No,Approved,https://pholsters.com/size-chart/,RXM FS
RUGER-000003,Ruger RXM Compact,3.60,A2,High,Yes,P320 Compact - 3.60 inch barrel,Compact 9mm modular polymer variant,No,Approved,https://pholsters.com/size-chart/,RXM Compact
RUGER-000004,Ruger RXM 250th Anniversary,3.90,A2,High,Yes,RXM - 3.90 inch barrel,Compact 9mm modular commemorative 2026,No,Approved,https://pholsters.com/size-chart/,RXM 250th
RUGER-000005,Ruger LCP,2.75,A1.5,High,Yes,Beretta 3032 Tomcat - 2.75 inch barrel,Micro-compact .380 ACP pocket,No,Approved,https://pholsters.com/size-chart/,LCP
RUGER-000006,Ruger LCP Crimson Trace,2.75,A1.5,High,Yes,LCP - 2.75 inch barrel,Micro-compact .380 ACP laser variant,No,Approved,https://pholsters.com/size-chart/,LCP CT
RUGER-000007,Ruger LCP II,2.75,A1.5,High,Yes,LCP - 2.75 inch barrel,Micro-compact .380 ACP improved variant,No,Approved,https://pholsters.com/size-chart/,LCP II
RUGER-000008,Ruger LCP II Crimson Trace,2.75,A1.5,High,Yes,LCP II - 2.75 inch barrel,Micro-compact .380 ACP laser improved,No,Approved,https://pholsters.com/size-chart/,LCP II CT
RUGER-000009,Ruger LCP Max,3.00,A1.5,High,Yes,S&W Shield - 3.00 inch barrel,Compact .380 ACP high capacity,No,Approved,https://pholsters.com/size-chart/,LCP Max
RUGER-000010,Ruger LCP Max 13-Round,3.00,A1.5,High,Yes,LCP Max - 3.00 inch barrel,Compact .380 ACP 13-round 2026,No,Approved,https://pholsters.com/size-chart/,LCP Max 13rd
RUGER-000011,Ruger Max-9,3.20,A1.5,High,Yes,P365 - 3.20 inch barrel,Micro-compact 9mm high capacity,No,Approved,https://pholsters.com/size-chart/,Max-9
RUGER-000012,Ruger Max-9 Manual Safety,3.20,A1.5,High,Yes,Max-9 - 3.20 inch barrel,Micro-compact 9mm with safety,No,Approved,https://pholsters.com/size-chart/,Max-9 MS
RUGER-000013,Ruger Max-9 Lite,3.20,A1.5,High,Yes,Max-9 - 3.20 inch barrel,Micro-compact 9mm aluminum frame,No,Approved,https://pholsters.com/size-chart/,Max-9 Lite
RUGER-000014,Ruger Security-9,4.00,A2.5,High,Yes,M&P9 Compact - 4.00 inch barrel,Compact 9mm polymer striker,No,Approved,https://pholsters.com/size-chart/,Security-9
RUGER-000015,Ruger Security-9 Compact,3.42,A2,High,Yes,Glock G19 - 3.42 inch barrel,Compact 9mm striker compact,No,Approved,https://pholsters.com/size-chart/,Security-9c
RUGER-000016,Ruger Security-9 Pro,4.00,A2.5,High,Yes,Security-9 - 4.00 inch barrel,Compact 9mm optics ready variant,No,Approved,https://pholsters.com/size-chart/,Security-9 Pro
RUGER-000017,Ruger Security-9 Pro Compact,3.42,A2,High,Yes,Security-9 Compact - 3.42 inch barrel,Compact 9mm optics compact variant,No,Approved,https://pholsters.com/size-chart/,Security-9 Pro Compact
RUGER-000018,Ruger SR9,4.14,A3,Medium,Yes,Glock G17 - 4.14 inch barrel,Full-size 9mm polymer discontinued,No,Approved Discontinued,https://pholsters.com/size-chart/,SR9
