firearm_id,display_name,barrel_length,proposed_passport_fit,confidence_level,passport_chart_exact_match,comparable_models,decision_basis,review_required,reviewer_decision,supporting_source_urls,aliases
SIG-000001,SIG Sauer P365,3.10,A1.5,High,Yes,Glock G43 - 3.10 inch barrel,Micro-compact 9mm single stack,No,Approved,https://pholsters.com/size-chart/,P365
SIG-000002,SIG Sauer P365 SAS,3.10,A1.5,High,Yes,P365 - 3.10 inch barrel,Micro-compact 9mm ambidextrous,No,Approved,https://pholsters.com/size-chart/,P365 SAS
SIG-000003,SIG Sauer P365 XL,3.70,A2,High,Yes,P365 - 3.70 inch barrel,Compact 9mm extended,No,Approved,https://pholsters.com/size-chart/,P365 XL
SIG-000004,SIG Sauer P365 X-Macro,3.10,A1.5,High,Yes,P365 - 3.10 inch barrel,Micro-compact 9mm 2023 model,No,Approved,https://pholsters.com/size-chart/,P365-XMACRO
SIG-000005,SIG Sauer P365 FUSE,3.10,A1.5,High,Yes,P365 - 3.10 inch barrel,Micro-compact 9mm optics 2024,No,Approved,https://pholsters.com/size-chart/,P365 FUSE
SIG-000006,SIG Sauer P365 Freedom,3.10,A1.5,High,Yes,P365 - 3.10 inch barrel,Micro-compact 9mm tactical 2026,No,Approved,https://pholsters.com/size-chart/,P365 Freedom
SIG-000007,SIG Sauer P365 .380,3.10,A1.5,High,Yes,Beretta 3032 Tomcat - 3.10 inch barrel,Micro-compact .380 ACP,No,Approved,https://pholsters.com/size-chart/,P365-380
SIG-000008,SIG Sauer P365 Nitron,3.10,A1.5,High,Yes,P365 - 3.10 inch barrel,Micro-compact 9mm finish variant,No,Approved,https://pholsters.com/size-chart/,P365 Nitron
SIG-000009,SIG Sauer P320,3.90,A2,High,Yes,Glock G19 - 3.90 inch barrel,Compact 9mm polymer modular,No,Approved,https://pholsters.com/size-chart/,P320
SIG-000010,SIG Sauer P320 Compact,3.60,A2,High,Yes,P320 - 3.60 inch barrel,Compact 9mm modular variant,No,Approved,https://pholsters.com/size-chart/,P320c
SIG-000011,SIG Sauer P320 Full-Size,4.70,A3,High,Yes,Beretta 92FS - 4.70 inch barrel,Full-size 9mm polymer modular,No,Approved,https://pholsters.com/size-chart/,P320 FS
SIG-000012,SIG Sauer P320 Subcompact,3.60,A2,High,Yes,Glock G19 - 3.60 inch barrel,Compact 9mm subcompact modular,No,Approved,https://pholsters.com/size-chart/,P320 SC
SIG-000013,SIG Sauer P320 X-Carry,4.00,A2.5,High,Yes,M&P9 Compact - 4.00 inch barrel,Compact 9mm modular tactical,No,Approved,https://pholsters.com/size-chart/,P320 X-Carry
SIG-000014,SIG Sauer P320 X-Five,5.00,A3,High,Yes,Glock 34 - 5.00 inch barrel,Full-size 9mm competition modular,No,Approved,https://pholsters.com/size-chart/,P320 X-Five
SIG-000015,SIG Sauer P320 X-Spectre,4.60,A3,High,Yes,P320 Full-Size - 4.60 inch barrel,Full-size 9mm tactical modular,No,Approved,https://pholsters.com/size-chart/,P320 X-Spectre
SIG-000016,SIG Sauer P320 XTEN,5.30,A4,High,Yes,Glock 34 - 5.30 inch barrel,Full-size 10mm competition,No,Approved,https://pholsters.com/size-chart/,P320 XTEN
