firearm_id,manufacturer,display_name,model,variant,caliber,barrel_length,action_type,passport_fit,capacity,frame_material,safety_type,active,discontinued,notes
SPRINGFIELD-000052,Springfield Armory,Springfield Hellcat 9mm,Hellcat,Standard 9mm,9mm,3.0,Semi-Auto,A1.5,13,Polymer,Grip Safety,Yes,No,Micro-compact striker-fired concealed carry
SPRINGFIELD-000053,Springfield Armory,Springfield Hellcat OSP,Hellcat,OSP (Optics Ready),9mm,3.0,Semi-Auto,A1.5,13,Polymer,Grip Safety,Yes,No,Micro-compact with optics-ready slide
SPRINGFIELD-000054,Springfield Armory,Springfield Hellcat RDP 9mm,Hellcat,RDP Compensator 9mm,9mm,3.0,Semi-Auto,A1.5,13,Polymer,Grip Safety,Yes,No,Micro-compact with integrated compensator
SPRINGFIELD-000055,Springfield Armory,Springfield Hellcat RDP 380,Hellcat,RDP Compensator 380 ACP,.380 ACP,3.0,Semi-Auto,A1.5,13,Polymer,Grip Safety,Yes,No,Micro-compact 380 ACP with integrated compensator
SPRINGFIELD-000056,Springfield Armory,Springfield Hellcat Pro 9mm,Hellcat Pro,Pro Standard 9mm,9mm,3.7,Semi-Auto,A2,15,Polymer,Grip Safety,Yes,No,Compact crossover larger frame higher capacity
SPRINGFIELD-000057,Springfield Armory,Springfield Hellcat Pro OSP,Hellcat Pro,Pro OSP Optics Ready,9mm,3.7,Semi-Auto,A2,15,Polymer,Grip Safety,Yes,No,Compact crossover optics-ready configuration
SPRINGFIELD-000058,Springfield Armory,Springfield Hellcat Pro RDP,Hellcat Pro,Pro RDP Compensator,9mm,3.7,Semi-Auto,A2,15,Polymer,Grip Safety,Yes,No,Compact crossover with integrated compensator
SPRINGFIELD-000059,Springfield Armory,Springfield XD-S Mod.2 9mm,XD-S Mod.2,Standard 9mm,9mm,3.3,Semi-Auto,A2,8,Polymer,Grip Safety,Yes,No,Single-stack subcompact concealed carry
SPRINGFIELD-000060,Springfield Armory,Springfield XD-S Mod.2 45 ACP,XD-S Mod.2,Standard 45 ACP,.45 ACP,3.3,Semi-Auto,A2,6,Polymer,Grip Safety,Yes,No,Single-stack subcompact 45 ACP variant
SPRINGFIELD-000061,Springfield Armory,Springfield XD-S Mod.2 Compact 9mm,XD-S Mod.2,Compact 9mm,9mm,4.0,Semi-Auto,A2.5,8,Polymer,Grip Safety,Yes,No,Single-stack compact 9mm extended barrel
