firearm_id,display_name,barrel_length,proposed_passport_fit,confidence_level,passport_chart_exact_match,comparable_models,decision_basis,review_required,reviewer_decision,supporting_source_urls,aliases
WALTHER-000001,Walther PDP Standard,4.00,A2.5,High,Yes,M&P9 Compact - 4.00 inch barrel,Compact 9mm polymer duty,No,Approved,https://pholsters.com/size-chart/,PDP Standard
WALTHER-000002,Walther PDP Standard Full-Size,5.00,A3,High,Yes,Beretta 92FS - 5.00 inch barrel,Full-size 9mm polymer duty,No,Approved,https://pholsters.com/size-chart/,PDP Full-Size
WALTHER-000003,Walther PDP Standard 4.5 Inch,4.50,A3,High,Yes,PDP Standard - 4.50 inch barrel,Compact-mid 9mm polymer duty,No,Approved,https://pholsters.com/size-chart/,PDP 4.5
WALTHER-000004,Walther PDP Pro,4.00,A2.5,High,Yes,M&P9 Compact - 4.00 inch barrel,Compact 9mm polymer competition,No,Approved,https://pholsters.com/size-chart/,PDP Pro
WALTHER-000005,Walther PDP Pro Full-Size,5.00,A3,High,Yes,PDP Standard Full-Size - 5.00 inch barrel,Full-size 9mm polymer competition,No,Approved,https://pholsters.com/size-chart/,PDP Pro FS
WALTHER-000006,Walther PDP Pro-E,4.00,A2.5,High,Yes,PDP Pro - 4.00 inch barrel,Compact 9mm enhanced competition,No,Approved,https://pholsters.com/size-chart/,PDP Pro-E
WALTHER-000007,Walther PDP Pro-X,5.00,A3,High,Yes,PDP Pro - 5.00 inch barrel,Full-size 9mm ported competition,No,Approved,https://pholsters.com/size-chart/,PDP Pro-X
WALTHER-000008,Walther PDP Pro-X PMM,5.00,A3,High,Yes,PDP Pro-X - 5.00 inch barrel,Full-size 9mm Parker Mountain ported,No,Approved,https://pholsters.com/size-chart/,PDP Pro-X PMM
WALTHER-000009,Walther PDP F-Series,3.50,A2,High,Yes,Glock G19 - 3.50 inch barrel,Compact 9mm small frame,No,Approved,https://pholsters.com/size-chart/,PDP F-Series
WALTHER-000010,Walther PDP F-Series Pro,3.50,A2,High,Yes,PDP F-Series - 3.50 inch barrel,Compact 9mm small frame pro,No,Approved,https://pholsters.com/size-chart/,PDP F-Series Pro
WALTHER-000011,Walther PDP F-Series 4 Inch,4.00,A2.5,High,Yes,M&P9 Compact - 4.00 inch barrel,Compact 9mm small frame 4 inch,No,Approved,https://pholsters.com/size-chart/,PDP F-Series 4
WALTHER-000012,Walther PDP Steel Frame,4.00,A2.5,High,Yes,PDP Standard - 4.00 inch barrel,Compact 9mm steel frame duty,No,Approved,https://pholsters.com/size-chart/,PDP Steel Compact
WALTHER-000013,Walther PDP Steel Frame Full-Size,5.00,A3,High,Yes,PDP Standard Full-Size - 5.00 inch barrel,Full-size 9mm steel frame,No,Approved,https://pholsters.com/size-chart/,PDP Steel FS
WALTHER-000014,Walther PDP Steel Frame Pro,5.00,A3,High,Yes,PDP Steel FS - 5.00 inch barrel,Full-size 9mm steel frame pro,No,Approved,https://pholsters.com/size-chart/,PDP Steel Pro
WALTHER-000015,Walther PDP Match,5.00,A3,High,Yes,PDP Pro-X - 5.00 inch barrel,Full-size 9mm match competition,No,Approved,https://pholsters.com/size-chart/,PDP Match
WALTHER-000016,Walther PDP Two Tone Gray,4.00,A2.5,High,Yes,PDP Standard - 4.00 inch barrel,Compact 9mm gray frame variant,No,Approved,https://pholsters.com/size-chart/,PDP Two Tone Gray
WALTHER-000017,Walther PDP Two Tone OD Green,4.00,A2.5,High,Yes,PDP Standard - 4.00 inch barrel,Compact 9mm OD Green frame,No,Approved,https://pholsters.com/size-chart/,PDP Two Tone OD
WALTHER-000018,Walther PDP Two Tone Tan,4.00,A2.5,High,Yes,PDP Standard - 4.00 inch barrel,Compact 9mm tan frame variant,No,Approved,https://pholsters.com/size-chart/,PDP Two Tone Tan
WALTHER-000019,Walther PPQ M2,4.00,A2.5,High,Yes,Glock G19 - 4.00 inch barrel,Compact 9mm polymer standard,No,Approved,https://pholsters.com/size-chart/,PPQ M2
